epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.5661,0,53.4041,0,0,0,0,0,0,59.0742,0,0.00010002,0.00010002,0.00010002
2,6.44055,0,51.7882,0,0,0,0,0,0,58.8661,0,0.000209559,0.000209559,0.000209559
3,8.91138,0,50.038,0,0,0,0,0,0,58.6376,0,0.000311396,0.000311396,0.000311396
4,11.3487,0,47.6289,0,0,0,0,0,0,57.7708,0,0.000405531,0.000405531,0.000405531
5,13.7722,0,45.1874,0,0,0,0,0,0,56.6219,0,0.000491965,0.000491965,0.000491965
6,16.1834,0,43.3009,0,0,0,0,0,0,54.5856,0,0.000570697,0.000570697,0.000570697
7,18.6033,0,41.7443,0,0,0,0,0,0,53.8392,0,0.000641728,0.000641728,0.000641728
8,21.1783,0,40.6385,0,0,0,0,0,0,49.3881,0,0.000705058,0.000705058,0.000705058
9,23.892,0,39.5057,0,0,0,0,0,0,47.2185,0,0.000760685,0.000760685,0.000760685
10,26.5548,0,38.6187,0,0,0,0,0,0,44.736,0,0.000808612,0.000808612,0.000808612
11,29.1763,0,38.1047,0,0,0,0,0,0,40.8175,0,0.000848836,0.000848836,0.000848836
12,31.8457,0,37.3299,0,0,0,0,0,0,38.95,0,0.00088136,0.00088136,0.00088136
13,34.5638,0,36.874,0,0,0,0,0,0,37.4182,0,0.000906181,0.000906181,0.000906181
14,36.8984,0,36.3648,0,0,0,0,0,0,37.4182,0,0.000923301,0.000923301,0.000923301
15,39.4756,0,36.0095,0,0,0,0,0,0,36.0862,0,0.000896846,0.000896846,0.000896846
16,42.0065,0,35.4679,0,0,0,0,0,0,35.0339,0,0.000841835,0.000841835,0.000841835
17,44.6691,0,35.0758,0,0,0,0,0,0,34.143,0,0.000786824,0.000786824,0.000786824
18,47.414,0,34.7782,0,0,0,0,0,0,33.6536,0,0.000731813,0.000731813,0.000731813
19,50.1184,0,34.355,0,0,0,0,0,0,33.3202,0,0.000676802,0.000676802,0.000676802
20,52.7816,0,34.0921,0,0,0,0,0,0,33.081,0,0.000621791,0.000621791,0.000621791
21,55.3342,0,33.8047,0,0,0,0,0,0,33.8967,0,0.00056678,0.00056678,0.00056678
22,57.6574,0,33.4423,0,0,0,0,0,0,33.8967,0,0.000511769,0.000511769,0.000511769
23,60.1383,0,33.557,0,0,0,0,0,0,34.758,0,0.000456758,0.000456758,0.000456758
24,62.9829,0,32.9894,0,0,0,0,0,0,35.1836,0,0.000401747,0.000401747,0.000401747
25,65.5088,0,32.8829,0,0,0,0,0,0,35.1026,0,0.000346736,0.000346736,0.000346736
26,68.1112,0,32.7205,0,0,0,0,0,0,34.9634,0,0.000291725,0.000291725,0.000291725
27,70.7664,0,32.6167,0,0,0,0,0,0,34.8734,0,0.000236714,0.000236714,0.000236714
28,73.4073,0,32.4225,0,0,0,0,0,0,34.8321,0,0.000181703,0.000181703,0.000181703
29,75.8648,0,32.3321,0,0,0,0,0,0,34.8802,0,0.000126692,0.000126692,0.000126692
30,78.2473,0,32.2372,0,0,0,0,0,0,34.8802,0,7.1681e-05,7.1681e-05,7.1681e-05
