epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.05804,0,53.418,0,0,0,0,0,0,59.0837,0,0.00010002,0.00010002,0.00010002
2,6.74143,0,51.7873,0,0,0,0,0,0,58.8622,0,0.000214565,0.000214565,0.000214565
3,9.33213,0,50.0655,0,0,0,0,0,0,58.6626,0,0.000326799,0.000326799,0.000326799
4,12.0767,0,47.8984,0,0,0,0,0,0,57.7982,0,0.000436722,0.000436722,0.000436722
5,14.7892,0,45.5534,0,0,0,0,0,0,56.5467,0,0.000544336,0.000544336,0.000544336
6,17.3975,0,43.3741,0,0,0,0,0,0,54.4685,0,0.000649638,0.000649638,0.000649638
7,19.9467,0,41.3317,0,0,0,0,0,0,53.0403,0,0.00075263,0.00075263,0.00075263
8,22.6767,0,40.0688,0,0,0,0,0,0,50.6209,0,0.000853312,0.000853312,0.000853312
9,26.0127,0,39.6265,0,0,0,0,0,0,72.9109,0,0.000951684,0.000951684,0.000951684
10,28.9901,0,38.3334,0,0,0,0,0,0,57.3433,0,0.00104774,0.00104774,0.00104774
11,31.6084,0,37.3622,0,0,0,0,0,0,48.2578,0,0.00114149,0.00114149,0.00114149
12,34.2948,0,36.7329,0,0,0,0,0,0,40.3523,0,0.00123293,0.00123293,0.00123293
13,36.9622,0,35.8451,0,0,0,0,0,0,36.5227,0,0.00132206,0.00132206,0.00132206
14,39.3135,0,35.0157,0,0,0,0,0,0,36.5227,0,0.00140888,0.00140888,0.00140888
15,42.1755,0,34.4079,0,0,0,0,0,0,36.2189,0,0.00143595,0.00143595,0.00143595
16,45.3935,0,33.6947,0,0,0,0,0,0,34.925,0,0.00141945,0.00141945,0.00141945
17,48.4305,0,33.1197,0,0,0,0,0,0,31.9796,0,0.00140295,0.00140295,0.00140295
18,51.314,0,32.4924,0,0,0,0,0,0,31.087,0,0.00138644,0.00138644,0.00138644
19,53.8838,0,31.8576,0,0,0,0,0,0,31.2622,0,0.00136994,0.00136994,0.00136994
20,56.5509,0,31.235,0,0,0,0,0,0,30.6758,0,0.00135344,0.00135344,0.00135344
21,59.6537,0,30.4981,0,0,0,0,0,0,30.3081,0,0.00133693,0.00133693,0.00133693
22,62.3425,0,29.913,0,0,0,0,0,0,30.3081,0,0.00132043,0.00132043,0.00132043
23,65.0451,0,29.3792,0,0,0,0,0,0,29.4571,0,0.00130393,0.00130393,0.00130393
24,67.5598,0,28.8179,0,0,0,0,0,0,28.6776,0,0.00128742,0.00128742,0.00128742
25,70.104,0,28.272,0,0,0,0,0,0,28.2084,0,0.00127092,0.00127092,0.00127092
26,72.5649,0,27.734,0,0,0,0,0,0,28.1857,0,0.00125442,0.00125442,0.00125442
27,75.2118,0,27.324,0,0,0,0,0,0,28.2775,0,0.00123791,0.00123791,0.00123791
28,77.9383,0,26.8103,0,0,0,0,0,0,28.1167,0,0.00122141,0.00122141,0.00122141
29,80.4498,0,26.3416,0,0,0,0,0,0,27.6522,0,0.00120491,0.00120491,0.00120491
30,82.7996,0,25.7288,0,0,0,0,0,0,27.6522,0,0.0011884,0.0011884,0.0011884
31,85.2707,0,25.3153,0,0,0,0,0,0,26.8535,0,0.0011719,0.0011719,0.0011719
32,87.8291,0,25.0339,0,0,0,0,0,0,26.7735,0,0.0011554,0.0011554,0.0011554
33,90.6187,0,24.5253,0,0,0,0,0,0,26.713,0,0.00113889,0.00113889,0.00113889
